CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2720,2572,1044,6336,2237,2140,749,5126,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,50163,20950,21224,92337,40940,16696,15582,73218,32134,13183,11557,56874
ALL,BALTIMORE CITY,Statewide,61084,4241,9130,74455,40063,2345,4393,46801,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,80667,23901,22064,126632,52354,15173,11218,78745,42494,12547,8797,63838
ALL,CALVERT,Statewide,6864,4276,2981,14121,5354,3264,2001,10619,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1067,876,487,2430,875,682,344,1901,418,316,146,880
ALL,CARROLL,Statewide,10237,8419,4938,23594,8116,6425,3299,17840,3224,2518,1173,6915
ALL,CECIL,Statewide,4391,4201,2179,10771,3309,3088,1428,7825,0,0,0,0
ALL,CHARLES,Statewide,14707,3272,3549,21528,11274,2549,2337,16160,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1859,976,478,3313,1550,817,343,2710,0,0,0,0
ALL,FREDERICK,Statewide,23120,9284,9168,41572,17573,6781,6002,30356,9261,3496,2828,15585
ALL,GARRETT,Statewide,1001,1361,395,2757,832,1094,281,2207,260,338,77,675
ALL,HARFORD,Statewide,14857,9809,6689,31355,11335,7451,4446,23232,5057,3216,1723,9996
ALL,HOWARD,Statewide,34501,8383,12843,55727,26340,6135,8502,40977,13887,3185,3919,20991
ALL,KENT,Statewide,1498,656,412,2566,1269,522,300,2091,620,259,121,1000
ALL,MONTGOMERY,Statewide,130317,21392,40006,191715,88779,13521,22707,125007,46181,7231,10611,64023
ALL,PRINCE GEORGE'S,Statewide,93638,6424,15456,115518,69445,4332,9041,82818,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2890,2310,1305,6505,2294,1773,954,5021,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5909,3962,2693,12564,4655,2937,1836,9428,2496,1487,838,4821
ALL,SOMERSET,Statewide,832,611,270,1713,674,451,186,1311,0,0,0,0
ALL,TALBOT,Statewide,3105,1662,1227,5994,2595,1326,901,4822,1800,901,572,3273
ALL,WASHINGTON,Statewide,7734,5374,3327,16435,6054,4179,2223,12456,5607,3910,2013,11530
ALL,WICOMICO,Statewide,5095,2801,1796,9692,4177,2289,1278,7744,1687,902,411,3000
ALL,WORCESTER,Statewide,3609,2838,1519,7966,2934,2202,1064,6200,1214,886,398,2498
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,20,2,10,32,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,630,110,268,1008,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1247,270,438,1955,661,88,188,937,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1192,256,436,1884,552,95,182,829,161,30,68,259
Civilian Overseas,CALVERT,Statewide,97,28,50,175,47,13,28,88,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,8,0,3,11,2,0,0,2
Civilian Overseas,CARROLL,Statewide,153,40,53,246,98,22,32,152,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,17,21,99,34,11,12,57,0,0,0,0
Civilian Overseas,CHARLES,Statewide,127,26,56,209,68,19,25,112,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,15,4,1,20,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,435,76,145,656,249,35,76,360,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,4,7,21,0,1,0,1
Civilian Overseas,HARFORD,Statewide,220,55,107,382,148,35,60,243,29,10,15,54
Civilian Overseas,HOWARD,Statewide,841,86,296,1223,505,46,151,702,4,1,0,5
Civilian Overseas,KENT,Statewide,32,4,5,41,22,3,2,27,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5635,593,1972,8200,2499,176,731,3406,980,76,239,1295
Civilian Overseas,PRINCE GEORGE'S,Statewide,1086,102,366,1554,596,53,172,821,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,69,8,23,100,37,3,13,53,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,62,14,22,98,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,1,0,0,1,0,0,0,0
Civilian Overseas,TALBOT,Statewide,94,9,36,139,51,5,16,72,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,112,21,36,169,64,15,25,104,29,9,9,47
Civilian Overseas,WICOMICO,Statewide,68,11,18,97,49,4,10,63,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,23,92,39,7,10,56,12,1,6,19
Domestic Civilian,ALLEGANY,Statewide,2681,2558,1028,6267,2213,2136,737,5086,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,48673,20457,20444,89574,40075,16452,15163,71690,32134,13183,11557,56874
Domestic Civilian,BALTIMORE CITY,Statewide,59748,3951,8649,72348,39369,2249,4190,45808,19998,1129,1704,22831
Domestic Civilian,BALTIMORE COUNTY,Statewide,79337,23549,21529,124415,51748,15055,11009,77812,42296,12508,8710,63514
Domestic Civilian,CALVERT,Statewide,6711,4178,2891,13780,5281,3221,1952,10454,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1051,865,477,2393,865,674,339,1878,416,311,145,872
Domestic Civilian,CARROLL,Statewide,10055,8321,4843,23219,8006,6384,3246,17636,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4316,4157,2148,10621,3265,3061,1411,7737,0,0,0,0
Domestic Civilian,CHARLES,Statewide,14444,3185,3409,21038,11139,2500,2280,15919,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1828,967,466,3261,1533,812,341,2686,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,22597,9109,8945,40651,17275,6702,5891,29868,9209,3485,2804,15498
Domestic Civilian,GARRETT,Statewide,981,1345,376,2702,822,1086,273,2181,260,336,76,672
Domestic Civilian,HARFORD,Statewide,14569,9639,6509,30717,11160,7352,4353,22865,5019,3192,1699,9910
Domestic Civilian,HOWARD,Statewide,33500,8231,12457,54188,25745,6061,8315,40121,13883,3184,3919,20986
Domestic Civilian,KENT,Statewide,1463,650,402,2515,1245,519,296,2060,618,259,121,998
Domestic Civilian,MONTGOMERY,Statewide,124324,20665,37751,182740,86125,13298,21865,121288,45138,7134,10344,62616
Domestic Civilian,PRINCE GEORGE'S,Statewide,92130,6233,14902,113265,68676,4243,8798,81717,31818,1965,3119,36902
Domestic Civilian,QUEEN ANNE'S,Statewide,2805,2270,1270,6345,2249,1760,936,4945,460,378,168,1006
Domestic Civilian,SAINT MARY'S,Statewide,5730,3859,2605,12194,4554,2891,1787,9232,2442,1466,810,4718
Domestic Civilian,SOMERSET,Statewide,825,608,267,1700,671,449,186,1306,0,0,0,0
Domestic Civilian,TALBOT,Statewide,3005,1644,1190,5839,2540,1316,884,4740,1766,896,566,3228
Domestic Civilian,WASHINGTON,Statewide,7592,5304,3276,16172,5973,4145,2193,12311,5561,3883,1999,11443
Domestic Civilian,WICOMICO,Statewide,5015,2775,1765,9555,4124,2281,1262,7667,1683,902,411,2996
Domestic Civilian,WORCESTER,Statewide,3543,2800,1480,7823,2890,2183,1047,6120,1200,881,390,2471
Military Overseas,ALLEGANY,Statewide,1,0,0,1,1,0,0,1,1,0,0,1
Military Overseas,ANNE ARUNDEL,Statewide,90,52,59,201,60,28,23,111,0,0,0,0
Military Overseas,BALTIMORE CITY,Statewide,16,3,9,28,6,1,3,10,1,0,1,2
Military Overseas,BALTIMORE COUNTY,Statewide,25,23,21,69,13,9,7,29,9,4,4,17
Military Overseas,CALVERT,Statewide,8,10,5,23,4,6,2,12,2,2,2,6
Military Overseas,CAROLINE,Statewide,0,4,0,4,0,3,0,3,0,2,0,2
Military Overseas,CARROLL,Statewide,9,13,8,30,4,7,4,15,0,0,0,0
Military Overseas,CECIL,Statewide,2,4,1,7,2,3,0,5,0,0,0,0
Military Overseas,CHARLES,Statewide,23,21,12,56,13,9,6,28,2,2,0,4
Military Overseas,DORCHESTER,Statewide,1,0,0,1,0,0,0,0,0,0,0,0
Military Overseas,FREDERICK,Statewide,17,14,14,45,10,8,9,27,0,2,3,5
Military Overseas,GARRETT,Statewide,0,3,1,4,0,2,0,2,0,0,0,0
Military Overseas,HARFORD,Statewide,16,22,13,51,10,17,7,34,3,3,0,6
Military Overseas,HOWARD,Statewide,29,12,19,60,19,6,11,36,0,0,0,0
Military Overseas,KENT,Statewide,1,1,3,5,1,0,1,2,0,0,0,0
Military Overseas,MONTGOMERY,Statewide,65,26,45,136,33,11,19,63,8,3,9,20
Military Overseas,PRINCE GEORGE'S,Statewide,78,13,29,120,41,8,13,62,4,2,3,9
Military Overseas,QUEEN ANNE'S,Statewide,2,8,1,11,1,4,0,5,0,2,0,2
Military Overseas,SAINT MARY'S,Statewide,13,15,5,33,8,8,2,18,5,2,1,8
Military Overseas,SOMERSET,Statewide,2,0,1,3,2,0,0,2,0,0,0,0
Military Overseas,TALBOT,Statewide,1,1,0,2,1,1,0,2,0,1,0,1
Military Overseas,WASHINGTON,Statewide,6,12,5,23,5,6,2,13,5,6,2,13
Military Overseas,WICOMICO,Statewide,2,4,4,10,0,2,2,4,0,0,0,0
Military Overseas,WORCESTER,Statewide,2,2,3,7,1,0,2,3,0,0,1,1
Military US,ALLEGANY,Statewide,3,5,4,12,3,2,2,7,3,0,0,3
Military US,ANNE ARUNDEL,Statewide,334,240,272,846,175,106,128,409,0,0,0,0
Military US,BALTIMORE CITY,Statewide,73,17,34,124,27,7,12,46,1,1,4,6
Military US,BALTIMORE COUNTY,Statewide,113,73,78,264,41,14,20,75,28,5,15,48
Military US,CALVERT,Statewide,48,60,35,143,22,24,19,65,12,11,7,30
Military US,CAROLINE,Statewide,4,6,5,15,2,5,2,9,0,3,1,4
Military US,CARROLL,Statewide,20,45,34,99,8,12,17,37,1,0,0,1
Military US,CECIL,Statewide,12,23,9,44,8,13,5,26,0,0,0,0
Military US,CHARLES,Statewide,113,40,72,225,54,21,26,101,8,8,7,23
Military US,DORCHESTER,Statewide,6,1,8,15,2,1,1,4,0,0,0,0
Military US,FREDERICK,Statewide,71,85,64,220,39,36,26,101,6,1,5,12
Military US,GARRETT,Statewide,2,7,5,14,0,2,1,3,0,1,1,2
Military US,HARFORD,Statewide,52,93,60,205,17,47,26,90,6,11,9,26
Military US,HOWARD,Statewide,131,54,71,256,71,22,25,118,0,0,0,0
Military US,KENT,Statewide,2,1,2,5,1,0,1,2,0,0,0,0
Military US,MONTGOMERY,Statewide,293,108,238,639,122,36,92,250,55,18,19,92
Military US,PRINCE GEORGE'S,Statewide,344,76,159,579,132,28,58,218,35,8,11,54
Military US,QUEEN ANNE'S,Statewide,14,24,11,49,7,6,5,18,1,0,1,2
Military US,SAINT MARY'S,Statewide,70,60,44,174,31,24,25,80,15,12,13,40
Military US,SOMERSET,Statewide,0,3,0,3,0,2,0,2,0,0,0,0
Military US,TALBOT,Statewide,5,8,1,14,3,4,1,8,2,2,0,4
Military US,WASHINGTON,Statewide,24,37,10,71,12,13,3,28,12,12,3,27
Military US,WICOMICO,Statewide,10,11,9,30,4,2,4,10,2,0,0,2
Military US,WORCESTER,Statewide,8,23,13,44,4,12,5,21,2,4,1,7
