CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2437,2293,859,5589,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,50198,20967,21252,92417,45297,18463,18213,81973,32134,13183,11557,56874
ALL,BALTIMORE CITY,Statewide,61196,4251,9150,74597,43442,2535,4977,50954,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,80735,23928,22087,126750,68448,19422,16978,104848,42494,12547,8797,63838
ALL,CALVERT,Statewide,6880,4286,2993,14159,6167,3709,2458,12334,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1072,882,486,2440,968,758,399,2125,418,316,146,880
ALL,CARROLL,Statewide,10243,8428,4947,23618,9271,7338,4131,20740,3224,2518,1173,6915
ALL,CECIL,Statewide,4396,4210,2180,10786,3894,3643,1813,9350,0,0,0,0
ALL,CHARLES,Statewide,14726,3284,3558,21568,12727,2811,2796,18334,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1875,981,484,3340,1641,855,368,2864,0,0,0,0
ALL,FREDERICK,Statewide,23175,9305,9191,41671,19248,7417,6835,33500,9261,3496,2828,15585
ALL,GARRETT,Statewide,1003,1364,397,2764,914,1208,325,2447,260,338,77,675
ALL,HARFORD,Statewide,14878,9820,6696,31394,13126,8506,5554,27186,5057,3216,1723,9996
ALL,HOWARD,Statewide,34528,8392,12860,55780,29666,6976,10299,46941,13887,3185,3919,20991
ALL,KENT,Statewide,1508,659,414,2581,1366,572,346,2284,620,259,121,1000
ALL,MONTGOMERY,Statewide,130470,21433,40083,191986,98031,14853,25983,138867,57318,8733,13468,79519
ALL,PRINCE GEORGE'S,Statewide,93862,6441,15497,115800,78389,4980,11218,94587,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2567,1980,1104,5651,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5237,3359,2236,10832,2496,1487,838,4821
ALL,SOMERSET,Statewide,836,612,271,1719,734,505,217,1456,0,0,0,0
ALL,TALBOT,Statewide,3115,1666,1230,6011,2751,1445,998,5194,1800,901,572,3273
ALL,WASHINGTON,Statewide,7747,5393,3339,16479,6802,4606,2674,14082,5607,3910,2013,11530
ALL,WICOMICO,Statewide,5113,2810,1802,9725,4536,2461,1460,8457,1687,902,411,3000
ALL,WORCESTER,Statewide,3612,2840,1519,7971,3192,2412,1229,6833,1214,886,398,2498
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,27,3,10,40,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,744,129,316,1189,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,676,93,195,964,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1202,259,442,1903,816,143,251,1210,161,30,68,259
Civilian Overseas,CALVERT,Statewide,97,28,50,175,58,13,32,103,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,9,0,3,12,2,0,0,2
Civilian Overseas,CARROLL,Statewide,153,41,53,247,119,25,38,182,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,17,21,99,44,11,14,69,0,0,0,0
Civilian Overseas,CHARLES,Statewide,127,26,56,209,83,19,30,132,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,16,4,2,22,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,438,76,145,659,277,41,90,408,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,13,4,8,25,0,1,0,1
Civilian Overseas,HARFORD,Statewide,220,55,107,382,173,38,71,282,29,10,15,54
Civilian Overseas,HOWARD,Statewide,842,87,297,1226,559,52,173,784,4,1,0,5
Civilian Overseas,KENT,Statewide,32,4,5,41,27,3,5,35,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5645,594,1976,8215,2904,197,830,3931,1416,102,366,1884
Civilian Overseas,PRINCE GEORGE'S,Statewide,1103,102,368,1573,680,63,203,946,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,69,8,23,100,47,4,16,67,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,73,15,22,110,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,1,0,1,2,0,0,0,0
Civilian Overseas,TALBOT,Statewide,94,9,36,139,55,5,16,76,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,112,21,36,169,70,15,25,110,29,9,9,47
Civilian Overseas,WICOMICO,Statewide,69,11,18,98,51,4,12,67,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,23,92,44,7,12,63,12,1,6,19
Domestic Civilian,ALLEGANY,Statewide,2685,2570,1029,6284,2406,2287,846,5539,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,48708,20474,20472,89654,44241,18136,17674,80051,32134,13183,11557,56874
Domestic Civilian,BALTIMORE CITY,Statewide,59859,3961,8668,72488,42731,2432,4765,49928,19998,1129,1704,22831
Domestic Civilian,BALTIMORE COUNTY,Statewide,79392,23569,21545,124506,67541,19225,16668,103434,42296,12508,8710,63514
Domestic Civilian,CALVERT,Statewide,6727,4188,2903,13818,6071,3655,2395,12121,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1056,871,477,2404,957,750,394,2101,416,311,145,872
Domestic Civilian,CARROLL,Statewide,10061,8329,4852,23242,9137,7276,4064,20477,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4321,4166,2149,10636,3837,3611,1791,9239,0,0,0,0
Domestic Civilian,CHARLES,Statewide,14464,3196,3418,21078,12560,2755,2718,18033,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1844,972,471,3287,1623,850,365,2838,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,22649,9129,8968,40746,18913,7315,6698,32926,9209,3485,2804,15498
Domestic Civilian,GARRETT,Statewide,983,1348,378,2709,900,1196,315,2411,260,336,76,672
Domestic Civilian,HARFORD,Statewide,14590,9650,6516,30756,12911,8382,5444,26737,5019,3192,1699,9910
Domestic Civilian,HOWARD,Statewide,33526,8239,12473,54238,28997,6892,10076,45965,13883,3184,3919,20986
Domestic Civilian,KENT,Statewide,1473,653,404,2530,1337,569,337,2243,618,259,121,998
Domestic Civilian,MONTGOMERY,Statewide,124467,20704,37822,182993,94942,14599,25020,134561,55811,8605,13058,77474
Domestic Civilian,PRINCE GEORGE'S,Statewide,92332,6247,14936,113515,77479,4873,10925,93277,31818,1965,3119,36902
Domestic Civilian,QUEEN ANNE'S,Statewide,2808,2273,1271,6352,2510,1956,1081,5547,460,378,168,1006
Domestic Civilian,SAINT MARY'S,Statewide,5746,3866,2611,12223,5109,3296,2180,10585,2442,1466,810,4718
Domestic Civilian,SOMERSET,Statewide,829,609,268,1706,731,503,215,1449,0,0,0,0
Domestic Civilian,TALBOT,Statewide,3015,1648,1193,5856,2691,1434,981,5106,1766,896,566,3228
Domestic Civilian,WASHINGTON,Statewide,7605,5323,3288,16216,6712,4562,2637,13911,5561,3883,1999,11443
Domestic Civilian,WICOMICO,Statewide,5032,2784,1771,9587,4481,2449,1441,8371,1683,902,411,2996
Domestic Civilian,WORCESTER,Statewide,3546,2802,1480,7828,3143,2388,1208,6739,1200,881,390,2471
Military Overseas,ALLEGANY,Statewide,1,0,0,1,1,0,0,1,1,0,0,1
Military Overseas,ANNE ARUNDEL,Statewide,90,52,59,201,70,42,31,143,0,0,0,0
Military Overseas,BALTIMORE CITY,Statewide,16,3,9,28,6,1,3,10,1,0,1,2
Military Overseas,BALTIMORE COUNTY,Statewide,25,24,21,70,18,14,11,43,9,4,4,17
Military Overseas,CALVERT,Statewide,8,10,5,23,5,7,4,16,2,2,2,6
Military Overseas,CAROLINE,Statewide,0,4,0,4,0,3,0,3,0,2,0,2
Military Overseas,CARROLL,Statewide,9,13,8,30,4,8,5,17,0,0,0,0
Military Overseas,CECIL,Statewide,2,4,1,7,2,4,1,7,0,0,0,0
Military Overseas,CHARLES,Statewide,23,21,12,56,16,10,7,33,2,2,0,4
Military Overseas,DORCHESTER,Statewide,1,0,0,1,0,0,0,0,0,0,0,0
Military Overseas,FREDERICK,Statewide,17,14,14,45,10,9,9,28,0,2,3,5
Military Overseas,GARRETT,Statewide,0,3,1,4,0,3,0,3,0,0,0,0
Military Overseas,HARFORD,Statewide,16,22,13,51,11,18,7,36,3,3,0,6
Military Overseas,HOWARD,Statewide,29,12,19,60,19,6,12,37,0,0,0,0
Military Overseas,KENT,Statewide,1,1,3,5,1,0,3,4,0,0,0,0
Military Overseas,MONTGOMERY,Statewide,65,26,45,136,38,11,21,70,16,4,12,32
Military Overseas,PRINCE GEORGE'S,Statewide,79,14,30,123,46,8,16,70,4,2,3,9
Military Overseas,QUEEN ANNE'S,Statewide,2,8,1,11,1,6,0,7,0,2,0,2
Military Overseas,SAINT MARY'S,Statewide,13,15,5,33,11,10,2,23,5,2,1,8
Military Overseas,SOMERSET,Statewide,2,0,1,3,2,0,1,3,0,0,0,0
Military Overseas,TALBOT,Statewide,1,1,0,2,1,1,0,2,0,1,0,1
Military Overseas,WASHINGTON,Statewide,6,12,5,23,5,7,5,17,5,6,2,13
Military Overseas,WICOMICO,Statewide,2,4,4,10,0,3,3,6,0,0,0,0
Military Overseas,WORCESTER,Statewide,2,2,3,7,1,0,2,3,0,0,1,1
Military US,ALLEGANY,Statewide,3,5,4,12,3,3,3,9,3,0,0,3
Military US,ANNE ARUNDEL,Statewide,334,240,272,846,242,156,192,590,0,0,0,0
Military US,BALTIMORE CITY,Statewide,73,17,34,124,29,9,14,52,1,1,4,6
Military US,BALTIMORE COUNTY,Statewide,116,76,79,271,73,40,48,161,28,5,15,48
Military US,CALVERT,Statewide,48,60,35,143,33,34,27,94,12,11,7,30
Military US,CAROLINE,Statewide,4,6,4,14,2,5,2,9,0,3,1,4
Military US,CARROLL,Statewide,20,45,34,99,11,29,24,64,1,0,0,1
Military US,CECIL,Statewide,12,23,9,44,11,17,7,35,0,0,0,0
Military US,CHARLES,Statewide,112,41,72,225,68,27,41,136,8,8,7,23
Military US,DORCHESTER,Statewide,6,1,9,16,2,1,1,4,0,0,0,0
Military US,FREDERICK,Statewide,71,86,64,221,48,52,38,138,6,1,5,12
Military US,GARRETT,Statewide,2,7,5,14,1,5,2,8,0,1,1,2
Military US,HARFORD,Statewide,52,93,60,205,31,68,32,131,6,11,9,26
Military US,HOWARD,Statewide,131,54,71,256,91,26,38,155,0,0,0,0
Military US,KENT,Statewide,2,1,2,5,1,0,1,2,0,0,0,0
Military US,MONTGOMERY,Statewide,293,109,240,642,147,46,112,305,75,22,32,129
Military US,PRINCE GEORGE'S,Statewide,348,78,163,589,184,36,74,294,35,8,11,54
Military US,QUEEN ANNE'S,Statewide,14,26,11,51,9,14,7,30,1,0,1,2
Military US,SAINT MARY'S,Statewide,71,60,44,175,44,38,32,114,15,12,13,40
Military US,SOMERSET,Statewide,0,3,0,3,0,2,0,2,0,0,0,0
Military US,TALBOT,Statewide,5,8,1,14,4,5,1,10,2,2,0,4
Military US,WASHINGTON,Statewide,24,37,10,71,15,22,7,44,12,12,3,27
Military US,WICOMICO,Statewide,10,11,9,30,4,5,4,13,2,0,0,2
Military US,WORCESTER,Statewide,8,23,13,44,4,17,7,28,2,4,1,7
