CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2447,2300,867,5614,2340,2206,806,5352
ALL,ANNE ARUNDEL,Statewide,50199,20967,21253,92419,45746,18596,18474,82816,43118,17682,17290,78090
ALL,BALTIMORE CITY,Statewide,61196,4251,9149,74596,49789,2983,6445,59217,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,80738,23927,22089,126754,70615,20107,17886,108608,58960,16950,14028,89938
ALL,CALVERT,Statewide,6881,4286,2993,14160,6240,3762,2505,12507,5854,3512,2250,11616
ALL,CAROLINE,Statewide,1072,882,486,2440,981,762,409,2152,933,724,382,2039
ALL,CARROLL,Statewide,10243,8428,4947,23618,9369,7419,4212,21000,8917,7085,3958,19960
ALL,CECIL,Statewide,4396,4210,2180,10786,3914,3658,1828,9400,2465,2298,1037,5800
ALL,CHARLES,Statewide,14726,3284,3558,21568,12729,2810,2796,18335,12588,2778,2754,18120
ALL,DORCHESTER,Statewide,1875,981,484,3340,1714,889,405,3008,1345,674,302,2321
ALL,FREDERICK,Statewide,23174,9305,9190,41669,20808,8007,7710,36525,19498,7469,7000,33967
ALL,GARRETT,Statewide,1003,1364,397,2764,918,1213,328,2459,871,1147,305,2323
ALL,HARFORD,Statewide,14876,9820,6696,31392,13276,8591,5653,27520,11230,7357,4395,22982
ALL,HOWARD,Statewide,34527,8392,12860,55779,30491,7143,10735,48369,27288,6460,9229,42977
ALL,KENT,Statewide,1508,659,414,2581,1367,572,347,2286,1185,498,288,1971
ALL,MONTGOMERY,Statewide,130466,21433,40083,191982,105744,16173,29126,151043,72914,11274,18371,102559
ALL,PRINCE GEORGE'S,Statewide,93863,6441,15495,115799,81046,5197,12098,98341,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2587,2000,1118,5705,2501,1910,1071,5482
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5306,3409,2276,10991,5226,3357,2228,10811
ALL,SOMERSET,Statewide,836,612,271,1719,742,514,220,1476,494,342,139,975
ALL,TALBOT,Statewide,3114,1666,1230,6010,2810,1483,1026,5319,2488,1290,868,4646
ALL,WASHINGTON,Statewide,7746,5393,3339,16478,6873,4652,2729,14254,6632,4491,2592,13715
ALL,WICOMICO,Statewide,5114,2809,1801,9724,4588,2483,1489,8560,4191,2273,1355,7819
ALL,WORCESTER,Statewide,3612,2840,1519,7971,3241,2443,1263,6947,3021,2287,1137,6445
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,28,4,10,42,14,3,5,22
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,792,134,343,1269,13,1,7,21
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,867,130,255,1252,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1202,259,442,1903,861,160,270,1291,219,37,79,335
Civilian Overseas,CALVERT,Statewide,97,28,50,175,63,15,32,110,50,12,27,89
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,9,0,3,12,6,0,0,6
Civilian Overseas,CARROLL,Statewide,153,41,53,247,122,26,41,189,26,6,11,43
Civilian Overseas,CECIL,Statewide,61,17,21,99,44,12,15,71,14,6,10,30
Civilian Overseas,CHARLES,Statewide,127,26,56,209,83,19,30,132,83,19,30,132
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,17,5,2,24,14,0,0,14
Civilian Overseas,FREDERICK,Statewide,438,76,145,659,301,46,99,446,137,24,38,199
Civilian Overseas,GARRETT,Statewide,18,6,13,37,13,4,8,25,12,4,5,21
Civilian Overseas,HARFORD,Statewide,220,55,107,382,176,39,76,291,144,34,58,236
Civilian Overseas,HOWARD,Statewide,842,87,297,1226,619,56,197,872,5,1,0,6
Civilian Overseas,KENT,Statewide,32,4,5,41,27,3,5,35,5,1,0,6
Civilian Overseas,MONTGOMERY,Statewide,5645,594,1976,8215,3124,222,903,4249,1904,140,531,2575
Civilian Overseas,PRINCE GEORGE'S,Statewide,1103,102,368,1573,749,71,231,1051,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,69,8,23,100,51,4,17,72,45,4,16,65
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,73,15,22,110,73,15,22,110
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,1,0,1,2,0,0,0,0
Civilian Overseas,TALBOT,Statewide,94,9,36,139,64,6,21,91,37,2,9,48
Civilian Overseas,WASHINGTON,Statewide,112,21,36,169,72,16,27,115,36,9,10,55
Civilian Overseas,WICOMICO,Statewide,69,11,18,98,53,4,12,69,32,2,8,42
Civilian Overseas,WORCESTER,Statewide,56,13,23,92,45,7,13,65,41,7,12,60
Domestic Civilian,ALLEGANY,Statewide,2685,2570,1029,6284,2415,2292,854,5561,2322,2201,798,5321
Domestic Civilian,ANNE ARUNDEL,Statewide,48709,20474,20473,89656,44617,18250,17889,80756,43074,17655,17257,77986
Domestic Civilian,BALTIMORE CITY,Statewide,59859,3961,8667,72487,48867,2841,6163,57871,19998,1129,1704,22831
Domestic Civilian,BALTIMORE COUNTY,Statewide,79395,23568,21547,124510,69647,19880,17548,107075,58683,16889,13915,89487
Domestic Civilian,CALVERT,Statewide,6728,4188,2903,13819,6134,3698,2441,12273,5773,3463,2198,11434
Domestic Civilian,CAROLINE,Statewide,1056,871,477,2404,969,754,404,2127,925,716,380,2021
Domestic Civilian,CARROLL,Statewide,10061,8329,4852,23242,9228,7353,4141,20722,8886,7063,3937,19886
Domestic Civilian,CECIL,Statewide,4321,4166,2149,10636,3857,3625,1805,9287,2442,2281,1024,5747
Domestic Civilian,CHARLES,Statewide,14464,3196,3418,21078,12562,2754,2718,18034,12422,2723,2676,17821
Domestic Civilian,DORCHESTER,Statewide,1844,972,471,3287,1694,883,401,2978,1329,673,301,2303
Domestic Civilian,FREDERICK,Statewide,22648,9129,8967,40744,20440,7891,7555,35886,19338,7427,6945,33710
Domestic Civilian,GARRETT,Statewide,983,1348,378,2709,904,1201,318,2423,858,1135,298,2291
Domestic Civilian,HARFORD,Statewide,14588,9650,6516,30754,13054,8464,5530,27048,11060,7260,4306,22626
Domestic Civilian,HOWARD,Statewide,33525,8239,12473,54237,29745,7049,10476,47270,27283,6459,9229,42971
Domestic Civilian,KENT,Statewide,1473,653,404,2530,1338,569,338,2245,1178,497,286,1961
Domestic Civilian,MONTGOMERY,Statewide,124463,20704,37822,182989,102407,15884,28068,146359,70880,11098,17757,99735
Domestic Civilian,PRINCE GEORGE'S,Statewide,92333,6247,14934,113514,80021,5071,11755,96847,31818,1965,3119,36902
Domestic Civilian,QUEEN ANNE'S,Statewide,2808,2273,1271,6352,2526,1973,1094,5593,2446,1887,1048,5381
Domestic Civilian,SAINT MARY'S,Statewide,5746,3866,2611,12223,5173,3341,2218,10732,5099,3293,2173,10565
Domestic Civilian,SOMERSET,Statewide,829,609,268,1706,739,511,218,1468,492,341,139,972
Domestic Civilian,TALBOT,Statewide,3014,1648,1193,5855,2741,1471,1004,5216,2446,1283,858,4587
Domestic Civilian,WASHINGTON,Statewide,7604,5323,3288,16215,6780,4605,2690,14075,6576,4453,2570,13599
Domestic Civilian,WICOMICO,Statewide,5033,2783,1770,9586,4530,2471,1468,8469,4155,2264,1341,7760
Domestic Civilian,WORCESTER,Statewide,3546,2802,1480,7828,3190,2418,1239,6847,2975,2265,1117,6357
Military Overseas,ALLEGANY,Statewide,1,0,0,1,1,0,0,1,1,0,0,1
Military Overseas,ANNE ARUNDEL,Statewide,90,52,59,201,71,42,37,150,3,5,2,10
Military Overseas,BALTIMORE CITY,Statewide,16,3,9,28,8,1,5,14,1,0,1,2
Military Overseas,BALTIMORE COUNTY,Statewide,25,24,21,70,20,16,13,49,12,5,5,22
Military Overseas,CALVERT,Statewide,8,10,5,23,5,8,4,17,5,5,2,12
Military Overseas,CAROLINE,Statewide,0,4,0,4,0,3,0,3,0,3,0,3
Military Overseas,CARROLL,Statewide,9,13,8,30,5,9,5,19,1,2,2,5
Military Overseas,CECIL,Statewide,2,4,1,7,2,4,1,7,2,2,0,4
Military Overseas,CHARLES,Statewide,23,21,12,56,16,10,7,33,16,10,7,33
Military Overseas,DORCHESTER,Statewide,1,0,0,1,0,0,0,0,0,0,0,0
Military Overseas,FREDERICK,Statewide,17,14,14,45,13,10,11,34,5,4,3,12
Military Overseas,GARRETT,Statewide,0,3,1,4,0,3,0,3,0,3,0,3
Military Overseas,HARFORD,Statewide,16,22,13,51,11,18,8,37,11,17,6,34
Military Overseas,HOWARD,Statewide,29,12,19,60,23,8,17,48,0,0,0,0
Military Overseas,KENT,Statewide,1,1,3,5,1,0,3,4,1,0,1,2
Military Overseas,MONTGOMERY,Statewide,65,26,45,136,44,12,24,80,27,5,15,47
Military Overseas,PRINCE GEORGE'S,Statewide,79,14,30,123,53,8,18,79,4,2,3,9
Military Overseas,QUEEN ANNE'S,Statewide,2,8,1,11,1,6,0,7,1,6,0,7
Military Overseas,SAINT MARY'S,Statewide,13,15,5,33,11,11,2,24,11,10,2,23
Military Overseas,SOMERSET,Statewide,2,0,1,3,2,0,1,3,2,0,0,2
Military Overseas,TALBOT,Statewide,1,1,0,2,1,1,0,2,1,1,0,2
Military Overseas,WASHINGTON,Statewide,6,12,5,23,5,7,5,17,5,7,5,17
Military Overseas,WICOMICO,Statewide,2,4,4,10,0,3,3,6,0,2,2,4
Military Overseas,WORCESTER,Statewide,2,2,3,7,1,0,2,3,1,0,2,3
Military US,ALLEGANY,Statewide,3,5,4,12,3,4,3,10,3,2,3,8
Military US,ANNE ARUNDEL,Statewide,334,240,272,846,266,170,205,641,28,21,24,73
Military US,BALTIMORE CITY,Statewide,73,17,34,124,47,11,22,80,1,1,4,6
Military US,BALTIMORE COUNTY,Statewide,116,76,79,271,87,51,55,193,46,19,29,94
Military US,CALVERT,Statewide,48,60,35,143,38,41,28,107,26,32,23,81
Military US,CAROLINE,Statewide,4,6,4,14,3,5,2,10,2,5,2,9
Military US,CARROLL,Statewide,20,45,34,99,14,31,25,70,4,14,8,26
Military US,CECIL,Statewide,12,23,9,44,11,17,7,35,7,9,3,19
Military US,CHARLES,Statewide,112,41,72,225,68,27,41,136,67,26,41,134
Military US,DORCHESTER,Statewide,6,1,9,16,3,1,2,6,2,1,1,4
Military US,FREDERICK,Statewide,71,86,64,221,54,60,45,159,18,14,14,46
Military US,GARRETT,Statewide,2,7,5,14,1,5,2,8,1,5,2,8
Military US,HARFORD,Statewide,52,93,60,205,35,70,39,144,15,46,25,86
Military US,HOWARD,Statewide,131,54,71,256,104,30,45,179,0,0,0,0
Military US,KENT,Statewide,2,1,2,5,1,0,1,2,1,0,1,2
Military US,MONTGOMERY,Statewide,293,109,240,642,169,55,131,355,103,31,68,202
Military US,PRINCE GEORGE'S,Statewide,348,78,163,589,223,47,94,364,35,8,11,54
Military US,QUEEN ANNE'S,Statewide,14,26,11,51,9,17,7,33,9,13,7,29
Military US,SAINT MARY'S,Statewide,71,60,44,175,49,42,34,125,43,39,31,113
Military US,SOMERSET,Statewide,0,3,0,3,0,3,0,3,0,1,0,1
Military US,TALBOT,Statewide,5,8,1,14,4,5,1,10,4,4,1,9
Military US,WASHINGTON,Statewide,24,37,10,71,16,24,7,47,15,22,7,44
Military US,WICOMICO,Statewide,10,11,9,30,5,5,6,16,4,5,4,13
Military US,WORCESTER,Statewide,8,23,13,44,5,18,9,32,4,15,6,25
