CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2459,2303,872,5634,2449,2295,869,5613
ALL,ANNE ARUNDEL,Statewide,50197,20964,21251,92412,45964,18664,18597,83225,45847,18607,18535,82989
ALL,BALTIMORE CITY,Statewide,61192,4251,9147,74590,51768,3166,6942,61876,51314,3120,6850,61284
ALL,BALTIMORE COUNTY,Statewide,80736,23926,22087,126749,71055,20212,18071,109338,70854,20137,17982,108973
ALL,CALVERT,Statewide,6881,4286,2994,14161,6288,3798,2538,12624,6268,3786,2525,12579
ALL,CAROLINE,Statewide,1072,882,486,2440,989,764,416,2169,989,763,414,2166
ALL,CARROLL,Statewide,10243,8428,4948,23619,9401,7442,4234,21077,9385,7428,4220,21033
ALL,CECIL,Statewide,4393,4203,2180,10776,3960,3687,1849,9496,3954,3680,1839,9473
ALL,CHARLES,Statewide,14725,3284,3558,21567,12999,2861,2892,18752,12972,2855,2883,18710
ALL,DORCHESTER,Statewide,1875,981,484,3340,1730,898,412,3040,1718,896,410,3024
ALL,FREDERICK,Statewide,23172,9304,9190,41666,20986,8070,7801,36857,20939,8042,7772,36753
ALL,GARRETT,Statewide,1003,1364,397,2764,921,1217,333,2471,920,1212,332,2464
ALL,HARFORD,Statewide,14877,9818,6696,31391,13343,8620,5698,27661,13312,8592,5683,27587
ALL,HOWARD,Statewide,34525,8392,12860,55777,30788,7186,10882,48856,30675,7159,10822,48656
ALL,KENT,Statewide,1507,659,414,2580,1378,576,352,2306,1378,574,350,2302
ALL,MONTGOMERY,Statewide,130459,21433,40081,191973,115339,17743,32981,166063,109802,16851,30934,157587
ALL,PRINCE GEORGE'S,Statewide,93856,6440,15495,115791,81642,5230,12270,99142,81024,5174,12102,98300
ALL,QUEEN ANNE'S,Statewide,2896,2319,1306,6521,2606,2008,1129,5743,2602,2001,1125,5728
ALL,SAINT MARY'S,Statewide,5927,3969,2700,12596,5330,3429,2301,11060,5324,3422,2293,11039
ALL,SOMERSET,Statewide,836,612,271,1719,745,520,221,1486,743,517,220,1480
ALL,TALBOT,Statewide,3130,1679,1251,6060,2842,1492,1048,5382,2838,1488,1040,5366
ALL,WASHINGTON,Statewide,7747,5394,3339,16480,6964,4689,2778,14431,6958,4680,2775,14413
ALL,WICOMICO,Statewide,5114,2809,1801,9724,4602,2496,1500,8598,4592,2489,1492,8573
ALL,WORCESTER,Statewide,3614,2843,1520,7977,3259,2452,1269,6980,3251,2445,1265,6961
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,30,4,11,45,30,4,11,45
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,859,146,366,1371,841,145,356,1342
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,963,156,287,1406,914,141,271,1326
Civilian Overseas,BALTIMORE COUNTY,Statewide,1202,259,442,1903,940,172,303,1415,937,169,302,1408
Civilian Overseas,CALVERT,Statewide,97,28,50,175,69,21,39,129,65,21,37,123
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,10,0,4,14,10,0,4,14
Civilian Overseas,CARROLL,Statewide,153,41,53,247,124,29,43,196,124,29,43,196
Civilian Overseas,CECIL,Statewide,61,17,21,99,48,13,18,79,48,13,18,79
Civilian Overseas,CHARLES,Statewide,127,26,56,209,92,23,35,150,92,23,35,150
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,19,5,3,27,19,5,3,27
Civilian Overseas,FREDERICK,Statewide,438,76,145,659,335,50,105,490,333,50,104,487
Civilian Overseas,GARRETT,Statewide,18,6,13,37,13,4,10,27,13,4,10,27
Civilian Overseas,HARFORD,Statewide,220,55,107,382,188,42,92,322,188,42,91,321
Civilian Overseas,HOWARD,Statewide,842,87,297,1226,661,58,216,935,659,58,215,932
Civilian Overseas,KENT,Statewide,32,4,5,41,28,3,5,36,28,3,5,36
Civilian Overseas,MONTGOMERY,Statewide,5645,594,1976,8215,4461,369,1386,6216,3649,297,1116,5062
Civilian Overseas,PRINCE GEORGE'S,Statewide,1103,102,368,1573,855,77,266,1198,787,72,244,1103
Civilian Overseas,QUEEN ANNE'S,Statewide,70,8,23,101,58,5,20,83,57,5,19,81
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,79,18,24,121,79,18,24,121
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,2,0,1,3,1,0,1,2
Civilian Overseas,TALBOT,Statewide,94,9,36,139,75,7,28,110,74,7,28,109
Civilian Overseas,WASHINGTON,Statewide,112,21,36,169,81,17,28,126,81,17,28,126
Civilian Overseas,WICOMICO,Statewide,69,11,18,98,56,6,14,76,56,6,14,76
Civilian Overseas,WORCESTER,Statewide,56,13,23,92,48,7,15,70,48,7,15,70
Domestic Civilian,ALLEGANY,Statewide,2685,2570,1029,6284,2425,2294,857,5576,2415,2286,854,5555
Domestic Civilian,ANNE ARUNDEL,Statewide,48707,20472,20471,89650,44755,18296,17975,81026,44661,18242,17926,80829
Domestic Civilian,BALTIMORE CITY,Statewide,59855,3961,8665,72481,50741,2997,6624,60362,50338,2966,6549,59853
Domestic Civilian,BALTIMORE COUNTY,Statewide,79393,23567,21545,124505,70002,19970,17698,107670,69805,19900,17612,107317
Domestic Civilian,CALVERT,Statewide,6728,4188,2904,13820,6173,3724,2467,12364,6159,3714,2456,12329
Domestic Civilian,CAROLINE,Statewide,1056,871,477,2404,976,756,410,2142,976,755,408,2139
Domestic Civilian,CARROLL,Statewide,10061,8329,4853,23243,9256,7371,4159,20786,9240,7357,4146,20743
Domestic Civilian,CECIL,Statewide,4318,4159,2149,10626,3898,3651,1823,9372,3892,3645,1813,9350
Domestic Civilian,CHARLES,Statewide,14463,3196,3418,21077,12807,2795,2804,18406,12780,2790,2795,18365
Domestic Civilian,DORCHESTER,Statewide,1844,972,471,3287,1708,892,405,3005,1696,890,403,2989
Domestic Civilian,FREDERICK,Statewide,22646,9128,8967,40741,20582,7943,7636,36161,20538,7918,7608,36064
Domestic Civilian,GARRETT,Statewide,983,1348,378,2709,907,1205,321,2433,906,1200,320,2426
Domestic Civilian,HARFORD,Statewide,14589,9648,6516,30753,13107,8488,5559,27154,13077,8460,5545,27082
Domestic Civilian,HOWARD,Statewide,33523,8239,12473,54235,29994,7084,10599,47677,29883,7060,10542,47485
Domestic Civilian,KENT,Statewide,1472,653,404,2529,1348,573,343,2264,1348,571,341,2260
Domestic Civilian,MONTGOMERY,Statewide,124456,20704,37821,182981,110593,17281,31388,159262,105912,16476,29643,152031
Domestic Civilian,PRINCE GEORGE'S,Statewide,92326,6246,14934,113506,80481,5094,11881,97456,79952,5047,11743,96742
Domestic Civilian,QUEEN ANNE'S,Statewide,2810,2277,1271,6358,2538,1979,1102,5619,2535,1972,1099,5606
Domestic Civilian,SAINT MARY'S,Statewide,5747,3866,2612,12225,5189,3357,2238,10784,5183,3350,2230,10763
Domestic Civilian,SOMERSET,Statewide,829,609,268,1706,741,517,219,1477,740,514,218,1472
Domestic Civilian,TALBOT,Statewide,3030,1661,1214,5905,2761,1478,1019,5258,2758,1474,1011,5243
Domestic Civilian,WASHINGTON,Statewide,7605,5324,3288,16217,6859,4635,2737,14231,6853,4627,2734,14214
Domestic Civilian,WICOMICO,Statewide,5033,2783,1770,9586,4540,2481,1477,8498,4530,2474,1469,8473
Domestic Civilian,WORCESTER,Statewide,3548,2805,1481,7834,3203,2427,1243,6873,3195,2420,1239,6854
Military Overseas,ALLEGANY,Statewide,1,0,0,1,1,0,0,1,1,0,0,1
Military Overseas,ANNE ARUNDEL,Statewide,90,52,59,201,77,43,41,161,76,43,41,160
Military Overseas,BALTIMORE CITY,Statewide,16,3,9,28,9,1,7,17,8,1,6,15
Military Overseas,BALTIMORE COUNTY,Statewide,25,24,21,70,21,17,15,53,21,16,13,50
Military Overseas,CALVERT,Statewide,8,10,5,23,6,9,4,19,6,9,4,19
Military Overseas,CAROLINE,Statewide,0,4,0,4,0,3,0,3,0,3,0,3
Military Overseas,CARROLL,Statewide,9,13,8,30,6,9,5,20,6,9,5,20
Military Overseas,CECIL,Statewide,2,4,1,7,2,4,1,7,2,4,1,7
Military Overseas,CHARLES,Statewide,23,21,12,56,18,12,8,38,18,12,8,38
Military Overseas,DORCHESTER,Statewide,1,0,0,1,0,0,0,0,0,0,0,0
Military Overseas,FREDERICK,Statewide,17,14,14,45,13,11,12,36,13,10,12,35
Military Overseas,GARRETT,Statewide,0,3,1,4,0,3,0,3,0,3,0,3
Military Overseas,HARFORD,Statewide,16,22,13,51,11,19,8,38,11,19,8,38
Military Overseas,HOWARD,Statewide,29,12,19,60,24,8,17,49,24,8,17,49
Military Overseas,KENT,Statewide,1,1,3,5,1,0,3,4,1,0,3,4
Military Overseas,MONTGOMERY,Statewide,65,26,44,135,51,15,32,98,48,15,26,89
Military Overseas,PRINCE GEORGE'S,Statewide,79,14,30,123,59,9,20,88,54,9,19,82
Military Overseas,QUEEN ANNE'S,Statewide,2,8,1,11,1,6,0,7,1,6,0,7
Military Overseas,SAINT MARY'S,Statewide,13,15,5,33,11,11,4,26,11,11,4,26
Military Overseas,SOMERSET,Statewide,2,0,1,3,2,0,1,3,2,0,1,3
Military Overseas,TALBOT,Statewide,1,1,0,2,1,1,0,2,1,1,0,2
Military Overseas,WASHINGTON,Statewide,6,12,5,23,6,9,5,20,6,8,5,19
Military Overseas,WICOMICO,Statewide,2,4,4,10,0,3,3,6,0,3,3,6
Military Overseas,WORCESTER,Statewide,2,2,3,7,1,0,2,3,1,0,2,3
Military US,ALLEGANY,Statewide,3,5,4,12,3,5,4,12,3,5,4,12
Military US,ANNE ARUNDEL,Statewide,334,239,272,845,273,179,215,667,269,177,212,658
Military US,BALTIMORE CITY,Statewide,73,17,34,124,55,12,24,91,54,12,24,90
Military US,BALTIMORE COUNTY,Statewide,116,76,79,271,92,53,55,200,91,52,55,198
Military US,CALVERT,Statewide,48,60,35,143,40,44,28,112,38,42,28,108
Military US,CAROLINE,Statewide,4,6,4,14,3,5,2,10,3,5,2,10
Military US,CARROLL,Statewide,20,45,34,99,15,33,27,75,15,33,26,74
Military US,CECIL,Statewide,12,23,9,44,12,19,7,38,12,18,7,37
Military US,CHARLES,Statewide,112,41,72,225,82,31,45,158,82,30,45,157
Military US,DORCHESTER,Statewide,6,1,9,16,3,1,4,8,3,1,4,8
Military US,FREDERICK,Statewide,71,86,64,221,56,66,48,170,55,64,48,167
Military US,GARRETT,Statewide,2,7,5,14,1,5,2,8,1,5,2,8
Military US,HARFORD,Statewide,52,93,60,205,37,71,39,147,36,71,39,146
Military US,HOWARD,Statewide,131,54,71,256,109,36,50,195,109,33,48,190
Military US,KENT,Statewide,2,1,2,5,1,0,1,2,1,0,1,2
Military US,MONTGOMERY,Statewide,293,109,240,642,234,78,175,487,193,63,149,405
Military US,PRINCE GEORGE'S,Statewide,348,78,163,589,247,50,103,400,231,46,96,373
Military US,QUEEN ANNE'S,Statewide,14,26,11,51,9,18,7,34,9,18,7,34
Military US,SAINT MARY'S,Statewide,71,60,44,175,51,43,35,129,51,43,35,129
Military US,SOMERSET,Statewide,0,3,0,3,0,3,0,3,0,3,0,3
Military US,TALBOT,Statewide,5,8,1,14,5,6,1,12,5,6,1,12
Military US,WASHINGTON,Statewide,24,37,10,71,18,28,8,54,18,28,8,54
Military US,WICOMICO,Statewide,10,11,9,30,6,6,6,18,6,6,6,18
Military US,WORCESTER,Statewide,8,23,13,44,7,18,9,34,7,18,9,34
